consistent,技术稳定，技术水平发挥稳定,（注：原意是一致的，始终如一的，首尾一贯的，在足球比赛中可转译为技术稳定的，技术水平发挥稳定的。）,consistent play,技术水平发挥稳定的比赛,,,,,,,,,,,,,,,,,
Continental football,大陆式足球（欧洲式足球）,,,,,,,,,,,,,,,,,,,,
control the midfield,控制中场,,,,,,,,,,,,,,,,,,,,
convert a corner,罚角球进球,,,,,,,,,,,,,,,,,,,,
convert a penalty kick,罚中，罚球命中，罚点球命中,Bulgarian striker Stoichkov converted a penalty.,保加利亚队的突前攻击手斯托伊奇科夫罚点球命中。,,,,,,,,,,,,,,,,,,
cool,沉着的，冷静的,The Argentines were cool under pressure and showed confidence in their ability.,阿根廷队面临强大攻势，冷静应战，表现出充分的自信。,,,,,,,,,,,,,,,,,,
coordination,配合,,,,,,,,,,,,,,,,,,,,
corner,角球,corner ball; corner kick,角球,to take a corner kick,踢角球,,,,,,,,,,,,,,,,
corner-area,角球区,,,,,,,,,,,,,,,,,,,,
corner-flag,角旗,,,,,,,,,,,,,,,,,,,,
counter,反击,,,,,,,,,,,,,,,,,,,,
counter-attack,反击,,,,,,,,,,,,,,,,,,,,
counterattack,反击,,,,,,,,,,,,,,,,,,,,
cover,覆盖；看守,防守球员对于空间的覆盖和看守,,,,,,,,,,,,,,,,,,,
cover a position,补位,,,,,,,,,,,,,,,,,,,,
cover up the ball,用身体掩护球,,,,,,,,,,,,,,,,,,,,
covering,补位,The team did have problems in their positional play and covering.,这个队在选位和补位方面确实存在问题。,,,,,,,,,,,,,,,,,,
crash volley,抢点直接临空射门,,,,,,,,,,,,,,,,,,,,
crashing shot,猛射；大力射门,,,,,,,,,,,,,,,,,,,,
create openings,制造空当（制造空隙）,"It is often very diffcult to create openings, but it can be done.",制造空当通常是很困难的，但可能做到。,,,,,,,,,,,,,,,,,,
create space,制造空当,,,,,,,,,,,,,,,,,,,,
cross,传中,1. 作动词：,传中,to cross the ball,传中,"No.3 crossed from the left, No.9 dummied, and No.13 crashed the ball into the net.",3号队员从左路传中，9号做个假动作，13号猛射将球送入网底。,The player crosses the ball to his teammate.,这个队员将球传中给他的队友。,The player on the side line crosses the ball to his teammate in the penalty area.,在边线附近的这个队员将球传中给在对方禁区内的同伴。,2. 作名词：,传中，传中球,send in a cross from the left / right,左路 / 右路传中,He sent a perfect cross to his teammate.,他提出一个绝妙的传中球将球传给队友。,,,,
cross pass,传中球,to make a cross pass,踢一个传中球,,,,,,,,,,,,,,,,,,
